datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2090-01-01 00:00:00,-5.391805,-3.2368991,-0.60643965,1.1008981
2090-01-01 01:00:00,-5.391805,-3.2368991,-0.60643965,1.1008981
2090-01-01 02:00:00,-5.6143465,-3.6946814,-1.1860466,0.6064021
2090-01-01 03:00:00,-6.9890456,-4.7178802,-1.7885295,0.09495641
2090-01-01 04:00:00,-8.388914,-5.7827716,-2.5145383,-0.55791616
2090-01-01 05:00:00,-8.931761,-6.0895367,-2.556448,-0.57228154
2090-01-01 06:00:00,-8.788928,-5.94096,-2.4256356,-0.4089132
2090-01-01 07:00:00,-8.69183,-6.1506615,-2.761972,-0.72117925
2090-01-01 08:00:00,-8.652564,-6.024265,-2.4489558,-0.42954728
2090-01-01 09:00:00,6.3603616,2.8317165,-0.11428034,1.7281768
2090-01-01 10:00:00,15.870445,8.516722,1.5363113,3.194873
2090-01-01 11:00:00,29.135466,16.779243,4.3829427,5.500162
2090-01-01 12:00:00,26.830376,16.21662,5.552838,6.6142364
2090-01-01 13:00:00,32.480274,20.012844,7.1986814,7.8123617
2090-01-01 14:00:00,28.969688,18.62107,7.8984065,8.331888
2090-01-01 15:00:00,17.001791,12.981428,8.52516,8.888434
2090-01-01 16:00:00,5.4442616,7.538948,9.137289,9.342973
2090-01-01 17:00:00,2.7229514,6.323387,9.423598,9.432847
2090-01-01 18:00:00,1.9267251,6.3659267,10.29295,9.999605
2090-01-01 19:00:00,2.645971,6.822563,10.515749,10.137085
2090-01-01 20:00:00,1.9603207,6.1593957,10.027198,9.637146
2090-01-01 21:00:00,1.9382658,5.703596,9.0861,8.751432
2090-01-01 22:00:00,3.011609,6.3359303,9.158811,8.578729
2090-01-01 23:00:00,3.169405,6.0436563,8.47465,7.9586368
2090-01-02 00:00:00,4.227936,6.067725,7.261791,6.526385
2090-01-02 01:00:00,3.8641412,5.2573843,5.9604654,5.006466
2090-01-02 02:00:00,1.9232174,3.6023028,4.4815536,3.5111465
2090-01-02 03:00:00,3.3304641,4.0841103,3.8958225,2.775306
2090-01-02 04:00:00,1.6825136,2.9156413,3.0813875,1.9000325
2090-01-02 05:00:00,1.5192881,2.538849,2.3449793,1.0781662
2090-01-02 06:00:00,1.02027,2.0894861,2.0649383,0.82126194
2090-01-02 07:00:00,3.140894,3.2872174,2.1248863,0.82670444
2090-01-02 08:00:00,4.619953,4.420625,3.1479824,2.003833
2090-01-02 09:00:00,15.06213,10.18525,4.2848725,3.197907
2090-01-02 10:00:00,30.009645,19.777548,9.041337,8.47758
