datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2060-01-01 00:00:00,-3.279448,-1.4020294,0.9569522,2.726447
2060-01-01 01:00:00,-3.279448,-1.4020294,0.9569522,2.726447
2060-01-01 02:00:00,-3.3304334,-1.7313178,0.45587727,2.2963877
2060-01-01 03:00:00,-4.557882,-2.6292381,-0.052149754,1.8678498
2060-01-01 04:00:00,-5.73975,-3.5174212,-0.6596364,1.3234612
2060-01-01 05:00:00,-6.3250747,-3.847536,-0.7004384,1.3052925
2060-01-01 06:00:00,-6.259661,-3.7446525,-0.56899995,1.4622626
2060-01-01 07:00:00,-5.942324,-3.797485,-0.81220627,1.2315441
2060-01-01 08:00:00,-5.895395,-3.6645877,-0.47514147,1.550504
2060-01-01 09:00:00,5.640349,3.1449127,1.3114344,3.231528
2060-01-01 10:00:00,13.750525,8.027723,2.7437553,4.5089197
2060-01-01 11:00:00,25.760813,15.602038,5.513452,6.8052397
2060-01-01 12:00:00,22.622257,14.426377,6.314889,7.589627
2060-01-01 13:00:00,27.341295,17.661274,7.863376,8.745277
2060-01-01 14:00:00,24.405302,16.507593,8.46445,9.156695
2060-01-01 15:00:00,14.170944,11.637269,8.915523,9.563799
2060-01-01 16:00:00,4.8024325,7.3160787,9.6166,10.082812
2060-01-01 17:00:00,2.869224,6.64008,10.146347,10.428496
2060-01-01 18:00:00,2.253731,6.716863,10.935948,10.949192
2060-01-01 19:00:00,3.1204443,7.3027954,11.248083,11.149961
2060-01-01 20:00:00,2.6030233,6.7948203,10.821112,10.701318
2060-01-01 21:00:00,2.714879,6.4904203,10.047261,9.948095
2060-01-01 22:00:00,3.418107,6.848806,9.942688,9.647591
2060-01-01 23:00:00,3.5583386,6.530446,9.258898,9.006343
2060-01-02 00:00:00,4.5698066,6.5067034,8.056712,7.5893917
2060-01-02 01:00:00,4.013629,5.537129,6.6143208,5.9831104
2060-01-02 02:00:00,2.286702,4.097197,5.3754354,4.688344
2060-01-02 03:00:00,3.6675231,4.606046,4.81663,3.994451
2060-01-02 04:00:00,2.1274865,3.4173524,3.9590085,3.0769827
2060-01-02 05:00:00,2.098438,3.2202652,3.3782787,2.4115696
2060-01-02 06:00:00,1.6782503,2.7844071,3.0635786,2.112481
2060-01-02 07:00:00,3.2915828,3.6793811,3.0549347,2.0144875
2060-01-02 08:00:00,4.718218,4.700644,3.8909903,2.97072
2060-01-02 09:00:00,13.361121,9.510606,4.8406286,3.9070845
