datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2020-01-01 00:00:00,-6.645674,-4.669934,-2.209923,-0.5397495
2020-01-01 01:00:00,-6.645674,-4.669934,-2.209923,-0.5397495
2020-01-01 02:00:00,-6.642748,-4.9433336,-2.6669664,-0.92121553
2020-01-01 03:00:00,-7.8784847,-5.8582354,-3.182847,-1.3539118
2020-01-01 04:00:00,-8.994798,-6.706497,-3.7675676,-1.8862165
2020-01-01 05:00:00,-9.581085,-7.016853,-3.759576,-1.8646393
2020-01-01 06:00:00,-9.384513,-6.8160686,-3.5789454,-1.6533885
2020-01-01 07:00:00,-9.220366,-6.958259,-3.8474278,-1.9014726
2020-01-01 08:00:00,-9.18318,-6.827407,-3.523565,-1.5780158
2020-01-01 09:00:00,4.020745,0.9556789,-1.4808576,0.33005142
2020-01-01 10:00:00,12.925517,6.2481837,0.0047451598,1.657717
2020-01-01 11:00:00,25.336538,13.8691635,2.4829211,3.7247672
2020-01-01 12:00:00,21.818535,12.598325,3.442099,4.650106
2020-01-01 13:00:00,26.884874,15.930395,4.8648186,5.69433
2020-01-01 14:00:00,23.505985,14.512162,5.3979797,6.0616755
2020-01-01 15:00:00,12.2615595,9.039265,5.709116,6.3372345
2020-01-01 16:00:00,1.9861672,4.2441483,6.3906446,6.885547
2020-01-01 17:00:00,-0.067909814,3.5766714,7.0514283,7.3364005
2020-01-01 18:00:00,-1.1332681,3.451938,7.856804,7.861246
2020-01-01 19:00:00,-0.25473008,4.051706,8.164825,8.054749
2020-01-01 20:00:00,-0.72186476,3.5838075,7.7539144,7.591733
2020-01-01 21:00:00,-0.3959422,3.4243827,7.058785,6.919873
2020-01-01 22:00:00,0.12454319,3.6274133,6.8227205,6.5060544
2020-01-01 23:00:00,0.36864114,3.4120653,6.218093,5.949112
2020-01-02 00:00:00,1.5087215,3.492203,5.0543528,4.5564775
2020-01-02 01:00:00,0.9271078,2.4914792,3.5739796,2.9010053
2020-01-02 02:00:00,-0.9036922,1.019556,2.3535342,1.6059725
2020-01-02 03:00:00,0.5347955,1.5597092,1.8748583,1.0295727
2020-01-02 04:00:00,-0.95524323,0.4192415,1.0424227,0.12387081
2020-01-02 05:00:00,-0.85282266,0.295234,0.4881753,-0.50495476
2020-01-02 06:00:00,-1.2583158,-0.15475585,0.19045612,-0.70962596
2020-01-02 07:00:00,0.44032285,0.773399,0.12426648,-0.8999767
2020-01-02 08:00:00,1.9168313,1.8111082,0.9390337,0.034013744
2020-01-02 09:00:00,11.434511,7.0568767,1.8932817,0.97508276
2020-01-02 10:00:00,24.510164,15.291067,5.620411,5.078607
2020-01-02 11:00:00,29.34358,18.028067,6.3752174,5.8330245
2020-01-02 12:00:00,36.22752,22.231997,8.192942,7.874964
2020-01-02 13:00:00,33.330837,21.157766,8.882679,8.518994
2020-01-02 14:00:00,28.871885,19.912935,10.846486,10.674555
2020-01-02 15:00:00,24.37685,18.049059,11.492488,11.317588
2020-01-02 16:00:00,15.051262,13.346126,11.424549,11.22917
2020-01-02 17:00:00,10.108479,11.352634,12.27691,12.0375395
