datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2080-01-01 00:00:00,-2.5675232,-0.8552852,1.3971945,3.232679
2080-01-01 01:00:00,-2.5675232,-0.8552852,1.3971945,3.232679
2080-01-01 02:00:00,-2.4044242,-1.0214192,0.99524254,2.889492
2080-01-01 03:00:00,-3.6564476,-1.9322509,0.48112768,2.450866
2080-01-01 04:00:00,-4.771966,-2.7692091,-0.10426767,1.9158484
2080-01-01 05:00:00,-5.416156,-3.1254175,-0.11592777,1.9087183
2080-01-01 06:00:00,-5.279722,-2.932711,0.12092008,2.176104
2080-01-01 07:00:00,-5.213265,-3.135415,-0.15673281,1.9083269
2080-01-01 08:00:00,-4.888738,-2.8450654,0.20036493,2.2278676
2080-01-01 09:00:00,4.3811407,2.688943,1.7495539,3.717453
2080-01-01 10:00:00,11.077786,6.779152,3.0120554,4.8306828
2080-01-01 11:00:00,23.552118,14.5050535,5.618379,7.0090466
2080-01-01 12:00:00,18.641325,12.37251,6.296586,7.6644006
2080-01-01 13:00:00,22.813253,15.262857,7.719135,8.737192
2080-01-01 14:00:00,20.328768,14.31375,8.301608,9.14309
2080-01-01 15:00:00,11.583833,10.190309,8.773711,9.605281
2080-01-01 16:00:00,4.0242786,6.8258033,9.586615,10.20859
2080-01-01 17:00:00,2.4768443,6.3599224,10.168052,10.627185
2080-01-01 18:00:00,2.0200598,6.510961,10.94762,11.121463
2080-01-01 19:00:00,2.9319031,7.1302238,11.260846,11.336166
2080-01-01 20:00:00,2.730303,6.8712564,10.946764,10.9492655
2080-01-01 21:00:00,2.9934464,6.6721916,10.263566,10.289032
2080-01-01 22:00:00,3.569176,6.9270997,10.056609,9.887781
2080-01-01 23:00:00,3.6366687,6.560904,9.374576,9.266892
2080-01-02 00:00:00,4.714234,6.56122,8.156318,7.814926
2080-01-02 01:00:00,4.230496,5.6603413,6.813322,6.3407035
2080-01-02 02:00:00,2.4357593,4.148974,5.5297422,5.007546
2080-01-02 03:00:00,3.7404609,4.60826,5.006274,4.4196563
2080-01-02 04:00:00,2.4657664,3.6245675,4.2271695,3.5294013
2080-01-02 05:00:00,2.5946932,3.5218575,3.6527822,2.8855908
2080-01-02 06:00:00,2.131789,3.0869043,3.445745,2.7094512
2080-01-02 07:00:00,3.7070575,3.9535205,3.4166698,2.5525167
2080-01-02 08:00:00,4.7276115,4.680338,4.0677037,3.296647
2080-01-02 09:00:00,12.02609,8.762569,4.8662634,4.0789776
2080-01-02 10:00:00,23.079374,15.888763,8.396,7.9608827
2080-01-02 11:00:00,26.378967,17.841795,9.104177,8.713065
2080-01-02 12:00:00,32.296062,21.515533,10.772627,10.571403
2080-01-02 13:00:00,29.574465,20.539587,11.495599,11.267491
2080-01-02 14:00:00,26.321207,19.824753,13.305707,13.216006
