datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2050-01-01 00:00:00,-4.5863576,-2.6403053,-0.25094232,1.4430252
2050-01-01 01:00:00,-4.5863576,-2.6403053,-0.25094232,1.4430252
2050-01-01 02:00:00,-4.523266,-2.8804061,-0.68910885,1.0660901
2050-01-01 03:00:00,-5.7899294,-3.8102124,-1.2139997,0.6323539
2050-01-01 04:00:00,-6.940895,-4.6792645,-1.8133645,0.08395643
2050-01-01 05:00:00,-7.5369477,-4.998208,-1.8519626,0.07587694
2050-01-01 06:00:00,-7.389061,-4.83595,-1.6835234,0.28009275
2050-01-01 07:00:00,-7.1057067,-4.9192963,-1.9667509,0.01861392
2050-01-01 08:00:00,-6.8757524,-4.6836405,-1.6195415,0.33948237
2050-01-01 09:00:00,3.2767682,1.3758701,0.109271355,1.9879369
2050-01-01 10:00:00,10.359092,5.6712103,1.4168097,3.1475859
2050-01-01 11:00:00,22.52214,13.27557,4.1093373,5.385648
2050-01-01 12:00:00,18.364998,11.559179,4.851596,6.1112304
2050-01-01 13:00:00,22.824247,14.615962,6.2990174,7.192932
2050-01-01 14:00:00,20.283339,13.6508465,6.8908434,7.5902457
2050-01-01 15:00:00,10.836636,9.1536255,7.314253,8.001291
2050-01-01 16:00:00,2.75677,5.5336804,8.121494,8.599392
2050-01-01 17:00:00,1.1912273,5.0569997,8.710172,9.027017
2050-01-01 18:00:00,0.60237336,5.1346755,9.464423,9.513537
2050-01-01 19:00:00,1.4906198,5.736843,9.792727,9.722494
2050-01-01 20:00:00,1.1628757,5.3713417,9.420476,9.29938
2050-01-01 21:00:00,1.3769991,5.1516147,8.737348,8.636523
2050-01-01 22:00:00,1.9410003,5.42141,8.557721,8.262539
2050-01-01 23:00:00,2.1001546,5.127848,7.914343,7.6762047
2050-01-02 00:00:00,3.137666,5.140079,6.73053,6.251271
2050-01-02 01:00:00,2.6430488,4.2003584,5.322288,4.702121
2050-01-02 02:00:00,0.8843412,2.7588332,4.093273,3.4065607
2050-01-02 03:00:00,2.2524729,3.2704499,3.6115527,2.8397965
2050-01-02 04:00:00,0.82465225,2.1328576,2.740595,1.883716
2050-01-02 05:00:00,0.89668787,2.000309,2.1608303,1.20805
2050-01-02 06:00:00,0.58749104,1.6099321,1.8638214,0.9770764
2050-01-02 07:00:00,2.0713096,2.4138625,1.8144888,0.80969113
2050-01-02 08:00:00,3.2325513,3.2593358,2.5431364,1.6555794
2050-01-02 09:00:00,11.033246,7.6438594,3.4989016,2.6244586
2050-01-02 10:00:00,22.269302,14.893163,7.0986085,6.58173
2050-01-02 11:00:00,26.250114,17.216085,7.8738365,7.388707
2050-01-02 12:00:00,32.33731,21.003193,9.607986,9.322809
2050-01-02 13:00:00,29.727373,20.097134,10.342578,10.039871
2050-01-02 14:00:00,26.202568,19.229462,12.129274,11.964057
2050-01-02 15:00:00,22.228704,17.613651,12.723703,12.5815735
2050-01-02 16:00:00,14.6652775,13.804644,12.748919,12.566744
2050-01-02 17:00:00,10.430324,12.211079,13.632647,13.419156
2050-01-02 18:00:00,6.7087564,10.203883,13.442083,13.336604
2050-01-02 19:00:00,4.5902934,8.824455,12.719442,12.552336
2050-01-02 20:00:00,5.165249,8.85665,12.3019,12.129529
2050-01-02 21:00:00,4.657939,8.655818,12.631452,12.737162
2050-01-02 22:00:00,3.458906,7.460977,11.306771,11.352308
2050-01-02 23:00:00,1.0401999,5.344825,9.517886,9.716072
2050-01-03 00:00:00,2.788841,5.9850006,9.242981,9.533285
2050-01-03 01:00:00,2.2495112,5.052249,7.9625726,8.158855
2050-01-03 02:00:00,0.97113025,3.7278452,6.6559963,7.0844836
2050-01-03 03:00:00,0.83515775,3.1301644,5.595467,5.916275
2050-01-03 04:00:00,0.20819372,2.5549378,5.057683,5.413733
2050-01-03 05:00:00,-0.85292745,1.8822033,4.793411,5.1525865
2050-01-03 06:00:00,-0.9448775,1.7574943,4.704279,5.1575303
2050-01-03 07:00:00,0.16837782,2.2854412,4.7989526,5.1729774
2050-01-03 08:00:00,2.2773585,3.5655553,5.2946897,5.7358065
2050-01-03 09:00:00,12.00856,9.217171,6.9082203,7.306492
2050-01-03 10:00:00,17.40893,12.164691,7.4035215,7.9696817
2050-01-03 11:00:00,25.887823,17.562717,9.619892,10.202382
2050-01-03 12:00:00,23.029135,16.366526,10.112596,10.700299
2050-01-03 13:00:00,23.333504,16.960634,11.120753,11.832761
2050-01-03 14:00:00,23.111765,17.62537,12.5718775,13.211016
2050-01-03 15:00:00,21.649853,17.817936,14.274262,14.770773
2050-01-03 16:00:00,18.479124,16.562311,14.986331,15.531565
2050-01-03 17:00:00,10.164074,11.91369,14.067871,14.5112095
2050-01-03 18:00:00,6.190514,9.9115505,13.745701,13.945476
2050-01-03 19:00:00,5.4415536,9.296149,13.3333645,13.5466385
2050-01-03 20:00:00,4.566666,8.700469,13.105656,13.444001
2050-01-03 21:00:00,4.069048,8.027703,12.303923,12.719073
2050-01-03 22:00:00,2.3694003,6.3623323,10.361332,10.500734
2050-01-03 23:00:00,1.665541,5.435207,9.282708,9.551025
2050-01-04 00:00:00,1.1701093,4.3907137,7.7523246,8.13434
2050-01-04 01:00:00,1.1266613,3.3286006,5.716809,5.921991
2050-01-04 02:00:00,-0.11663243,2.232765,4.693559,4.8506093
2050-01-04 03:00:00,0.92903197,2.4093757,4.0236645,4.2044196
2050-01-04 04:00:00,-0.55980986,1.3204331,3.2465975,3.325154
2050-01-04 05:00:00,-2.181038,0.09310979,2.291766,2.4099467
2050-01-04 06:00:00,-1.9944689,0.36824423,2.8443332,3.003627
2050-01-04 07:00:00,0.09873602,1.5491923,3.1944563,3.3045943
2050-01-04 08:00:00,0.8056944,1.8818283,3.3006299,3.4829905
2050-01-04 09:00:00,13.5737915,8.95577,4.2585306,4.0483603
2050-01-04 10:00:00,18.980324,13.126409,7.246354,7.2232094
2050-01-04 11:00:00,18.448177,13.397935,8.505534,8.523302
2050-01-04 12:00:00,15.589203,11.9975815,8.738359,9.018476
2050-01-04 13:00:00,13.696339,10.934809,8.555197,9.075598
2050-01-04 14:00:00,14.039125,12.114116,10.739908,11.458969
2050-01-04 15:00:00,12.098275,12.050594,12.454118,13.188354
2050-01-04 16:00:00,9.748606,10.954776,12.626996,13.2677765
2050-01-04 17:00:00,6.956091,9.596452,12.660446,13.219959
2050-01-04 18:00:00,3.793639,7.63847,11.905925,12.4162035
2050-01-04 19:00:00,3.0684676,7.047218,11.359364,11.747658
2050-01-04 20:00:00,2.511213,6.490712,10.925029,11.407251
2050-01-04 21:00:00,1.5303286,5.704676,10.305481,10.955668
2050-01-04 22:00:00,0.93239546,4.809759,8.973368,9.482916
2050-01-04 23:00:00,-0.6564164,2.8966582,6.4816427,6.7294254
2050-01-05 00:00:00,-0.92104477,2.273867,5.707861,6.0742826
2050-01-05 01:00:00,-1.134762,1.4478647,4.126769,4.294929
2050-01-05 02:00:00,-2.231071,0.30659643,3.067806,3.3932977
2050-01-05 03:00:00,-2.2520843,-0.052018203,2.404289,2.7651167
2050-01-05 04:00:00,-2.73601,-0.70549697,1.5308337,1.762676
2050-01-05 05:00:00,-4.148706,-1.6330494,1.0259014,1.28325
2050-01-05 06:00:00,-3.577707,-1.296024,1.4142494,1.8804634
2050-01-05 07:00:00,-3.6425395,-1.7159513,0.6263399,1.0168972
2050-01-05 08:00:00,-2.3038864,-0.69975674,1.4941196,2.1125886
2050-01-05 09:00:00,6.032325,4.3315125,3.2390974,3.8401253
2050-01-05 10:00:00,7.5159664,5.7316723,4.7814436,5.7090774
2050-01-05 11:00:00,6.7193537,5.243025,4.517568,5.443418
2050-01-05 12:00:00,3.7520235,3.2865317,3.333234,4.0245347
2050-01-05 13:00:00,4.7747583,4.179219,4.3011985,5.047776
2050-01-05 14:00:00,6.5765996,5.9586535,6.107604,6.893961
2050-01-05 15:00:00,6.18598,6.187548,6.940918,7.771073
2050-01-05 16:00:00,3.8704708,5.176788,7.233247,8.004858
2050-01-05 17:00:00,-0.35296813,2.9709167,7.0110645,7.755023
2050-01-05 18:00:00,-2.1742258,2.246968,7.1841426,7.7174954
2050-01-05 19:00:00,-2.236411,2.2652965,7.1540623,7.5438743
2050-01-05 20:00:00,-2.2739513,2.0841365,6.8121257,7.2062325
2050-01-05 21:00:00,-2.2998981,2.0305088,6.7369347,7.280716
2050-01-05 22:00:00,-2.5306077,1.3607712,5.3426337,5.562775
2050-01-05 23:00:00,-2.498482,1.0364001,4.618146,4.8466287
2050-01-06 00:00:00,-3.3673708,0.14072296,3.6987283,3.9166062
2050-01-06 01:00:00,-3.9960647,-0.9885056,1.9996812,2.0865722
2050-01-06 02:00:00,-3.5006065,-1.1092731,1.2734375,1.3409852
2050-01-06 03:00:00,-3.8561695,-1.7239296,0.6039052,0.80003947
2050-01-06 04:00:00,-4.3145175,-2.3521748,-0.5116524,-0.56735337
2050-01-06 05:00:00,-5.17194,-2.9152887,-0.70692724,-0.680772
2050-01-06 06:00:00,-5.731894,-3.371642,-1.0919054,-1.1965548
2050-01-06 07:00:00,-3.5098126,-2.0937748,-0.767719,-0.9250461
2050-01-06 08:00:00,-2.9300227,-1.9312246,-1.0327178,-1.1648896
2050-01-06 09:00:00,1.8089767,0.618025,-0.62061065,-0.87914026
2050-01-06 10:00:00,5.7145643,2.9538279,0.043958876,-0.26262754
2050-01-06 11:00:00,11.416972,6.423649,1.3129727,1.1192067
2050-01-06 12:00:00,19.437122,10.490423,1.3746135,1.0745182
2050-01-06 13:00:00,19.580996,10.909594,2.173002,1.8159821
2050-01-06 14:00:00,19.40958,11.436145,3.299229,2.8650072
2050-01-06 15:00:00,14.4826355,9.702251,4.759266,4.4120083
2050-01-06 16:00:00,7.041287,6.196572,5.2511015,5.0807567
2050-01-06 17:00:00,2.0870087,3.91777,5.6304774,5.4569874
2050-01-06 18:00:00,-0.9158772,2.6802406,6.0230126,5.823029
2050-01-06 19:00:00,-2.90529,1.3169795,5.3948536,5.252924
2050-01-06 20:00:00,-2.4739394,1.5342878,5.5206633,5.535011
2050-01-06 21:00:00,-3.608828,0.6712187,4.9744315,5.072078
2050-01-06 22:00:00,-3.5417309,0.5614247,4.646991,4.817653
2050-01-06 23:00:00,-4.1761904,-0.052587714,4.084804,4.2935424
2050-01-07 00:00:00,-4.3314333,-0.75516945,2.7038438,2.741576
2050-01-07 01:00:00,-5.339016,-1.8785084,1.5892396,1.6157517
