datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2040-01-01 00:00:00,-5.1056595,-3.0211623,-0.48295176,1.2094666
2040-01-01 01:00:00,-5.1056595,-3.0211623,-0.48295176,1.2094666
2040-01-01 02:00:00,-5.1423454,-3.336897,-0.9688367,0.79477674
2040-01-01 03:00:00,-6.553329,-4.3824906,-1.5803347,0.28035086
2040-01-01 04:00:00,-7.781985,-5.3182487,-2.2238243,-0.30360094
2040-01-01 05:00:00,-8.331863,-5.617447,-2.2609622,-0.30807444
2040-01-01 06:00:00,-8.231724,-5.4975476,-2.1378102,-0.1497922
2040-01-01 07:00:00,-7.961886,-5.5903673,-2.420529,-0.41368383
2040-01-01 08:00:00,-7.8421564,-5.414708,-2.0889082,-0.10515356
2040-01-01 09:00:00,3.9614162,1.5931593,-0.143282,1.7302254
2040-01-01 10:00:00,11.883206,6.382668,1.3007439,3.008911
2040-01-01 11:00:00,24.528994,14.387913,4.257128,5.432321
2040-01-01 12:00:00,21.237787,13.18489,5.173966,6.328777
2040-01-01 13:00:00,26.415596,16.706768,6.7873564,7.521704
2040-01-01 14:00:00,23.37582,15.52234,7.4120784,7.9583106
2040-01-01 15:00:00,13.195347,10.730792,7.9425464,8.433676
2040-01-01 16:00:00,3.8473785,6.429382,8.64456,8.950043
2040-01-01 17:00:00,1.9029753,5.6977587,9.11552,9.2438135
2040-01-01 18:00:00,1.2504008,5.7448545,9.877566,9.743495
2040-01-01 19:00:00,2.1248195,6.3280644,10.198306,9.955817
2040-01-01 20:00:00,1.6285579,5.819693,9.758862,9.487745
2040-01-01 21:00:00,1.6325285,5.4114194,8.91191,8.687297
2040-01-01 22:00:00,2.5140173,5.923903,8.904684,8.447446
2040-01-01 23:00:00,2.6650994,5.6251354,8.247348,7.849845
2040-01-02 00:00:00,3.6798918,5.6127386,7.006343,6.374953
2040-01-02 01:00:00,3.3352473,4.8234377,5.7515335,4.924025
2040-01-02 02:00:00,1.4670447,3.1980352,4.217568,3.348661
2040-01-02 03:00:00,2.8426373,3.6907957,3.7483292,2.7814574
2040-01-02 04:00:00,1.2875128,2.543994,2.8858087,1.8303252
2040-01-02 05:00:00,1.259563,2.274419,2.2320523,1.0989828
