datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2070-01-01 00:00:00,-4.4585886,-2.5302544,-0.06039067,1.701924
2070-01-01 01:00:00,-4.4585886,-2.5302544,-0.06039067,1.701924
2070-01-01 02:00:00,-4.659035,-2.9731357,-0.6418581,1.2099189
2070-01-01 03:00:00,-6.0198307,-3.98126,-1.222036,0.7152073
2070-01-01 04:00:00,-7.2853127,-4.9431496,-1.8879914,0.12088754
2070-01-01 05:00:00,-7.8584433,-5.2633815,-1.8963779,0.121163994
2070-01-01 06:00:00,-7.8247385,-5.185796,-1.7960055,0.24928609
2070-01-01 07:00:00,-7.698033,-5.3665185,-2.0902743,-0.02596505
2070-01-01 08:00:00,-7.7447114,-5.2923117,-1.7862287,0.27478713
2070-01-01 09:00:00,6.253986,2.9794211,0.38251266,2.2838354
2070-01-01 10:00:00,15.51238,8.498192,1.9413458,3.6725416
2070-01-01 11:00:00,28.463654,16.642166,4.8580832,6.046282
2070-01-01 12:00:00,25.937326,15.949702,5.9897323,7.122633
2070-01-01 13:00:00,31.513498,19.708178,7.6711407,8.352366
2070-01-01 14:00:00,28.06582,18.350958,8.365289,8.865005
2070-01-01 15:00:00,16.741562,13.015544,8.960583,9.401983
2070-01-01 16:00:00,5.7306128,7.8294263,9.563174,9.842204
2070-01-01 17:00:00,3.1758919,6.75126,9.925854,10.009376
2070-01-01 18:00:00,2.4203768,6.7960114,10.75955,10.551454
2070-01-01 19:00:00,3.263098,7.339595,11.028722,10.731617
2070-01-01 20:00:00,2.542131,6.6751328,10.556153,10.2457695
2070-01-01 21:00:00,2.584572,6.246305,9.622533,9.358107
2070-01-01 22:00:00,3.5749922,6.8160205,9.65093,9.153662
2070-01-01 23:00:00,3.7409196,6.5187674,8.95484,8.519449
2070-01-02 00:00:00,4.7743235,6.510461,7.7227855,7.0678277
2070-01-02 01:00:00,4.1520824,5.4731317,6.178731,5.322337
2070-01-02 02:00:00,2.3237746,3.9488032,4.8663263,3.930488
2070-01-02 03:00:00,3.851893,4.570655,4.362833,3.2752948
2070-01-02 04:00:00,2.177609,3.3270345,3.529305,2.399472
2070-01-02 05:00:00,2.107943,3.0742707,2.8685763,1.6336045
2070-01-02 06:00:00,1.5956918,2.5855176,2.5372856,1.3169557
2070-01-02 07:00:00,3.538256,3.6941032,2.5759838,1.2933633
2070-01-02 08:00:00,5.0053782,4.7925,3.580811,2.4698055
2070-01-02 09:00:00,14.760826,10.194099,4.598659,3.488756
2070-01-02 10:00:00,28.959408,19.39331,9.332129,8.785665
2070-01-02 11:00:00,34.51554,22.563822,10.24018,9.662499
2070-01-02 12:00:00,41.961967,27.342485,12.704704,12.393048
2070-01-02 13:00:00,39.412148,26.530033,13.537155,13.205435
2070-01-02 14:00:00,35.46534,25.680466,15.733337,15.567725
2070-01-02 15:00:00,30.680943,23.808125,16.706827,16.559711
2070-01-02 16:00:00,20.815067,18.718073,16.360033,16.132847
2070-01-02 17:00:00,15.557249,16.564266,17.30404,17.101274
2070-01-02 18:00:00,10.231536,13.54663,16.611454,16.525652
2070-01-02 19:00:00,7.6826024,11.7564945,15.563154,15.369551
2070-01-02 20:00:00,7.5967755,11.227207,14.605138,14.397712
2070-01-02 21:00:00,7.462879,11.301174,15.192447,15.293796
2070-01-02 22:00:00,5.8312383,9.793821,13.705229,13.819475
2070-01-02 23:00:00,2.92826,7.2650905,11.6487055,11.96955
2070-01-03 00:00:00,4.469426,7.709614,11.155107,11.547088
2070-01-03 01:00:00,4.0134935,6.8283486,9.89,10.247947
2070-01-03 02:00:00,1.9850097,5.0164948,8.412023,9.040935
2070-01-03 03:00:00,1.797781,4.4066634,7.283098,7.76874
2070-01-03 04:00:00,0.9982086,3.7224,6.731658,7.2592497
