datetime,Surface_temperature,Layer1_temperature,Layer2_temperature,Layer3_temperature
2100-01-01 00:00:00,-7.1318717,-4.963902,-2.3205462,-0.65409964
2100-01-01 01:00:00,-7.1318717,-4.963902,-2.3205462,-0.65409964
2100-01-01 02:00:00,-7.153012,-5.252786,-2.785274,-1.0429933
2100-01-01 03:00:00,-8.454533,-6.2186904,-3.3433604,-1.5148451
2100-01-01 04:00:00,-9.588471,-7.0814123,-3.9291265,-2.050578
2100-01-01 05:00:00,-10.180093,-7.3842216,-3.9153483,-2.0211058
2100-01-01 06:00:00,-9.971999,-7.205899,-3.7801661,-1.8538853
2100-01-01 07:00:00,-9.756922,-7.312314,-4.0342236,-2.0872507
2100-01-01 08:00:00,-9.722955,-7.1729817,-3.7047668,-1.7674077
2100-01-01 09:00:00,5.0203433,1.4875845,-1.4735764,0.2980134
2100-01-01 10:00:00,14.429998,7.0608964,0.08606715,1.6954596
2100-01-01 11:00:00,27.030329,14.748381,2.4992115,3.7014205
2100-01-01 12:00:00,24.19795,13.829815,3.4817398,4.646175
2100-01-01 13:00:00,29.25014,17.181185,4.9339337,5.709444
2100-01-01 14:00:00,25.712162,15.696845,5.4931035,6.1068354
2100-01-01 15:00:00,13.600157,9.81896,5.8502645,6.409959
2100-01-01 16:00:00,2.309447,4.483089,6.465486,6.9082675
2100-01-01 17:00:00,-0.09381746,3.5965,7.0408187,7.276622
2100-01-01 18:00:00,-1.2494353,3.4414299,7.8702703,7.818763
2100-01-01 19:00:00,-0.40457374,4.0127463,8.166785,8.010156
2100-01-01 20:00:00,-0.9604457,3.4669676,7.7302704,7.530222
2100-01-01 21:00:00,-0.75732124,3.1993947,6.936033,6.776937
2100-01-01 22:00:00,-0.096857704,3.5241165,6.8022585,6.4468503
2100-01-01 23:00:00,0.14693664,3.2999759,6.1781883,5.87544
2100-01-02 00:00:00,1.2997087,3.403106,5.0423455,4.5057287
2100-01-02 01:00:00,0.6603565,2.3668153,3.519277,2.809657
2100-01-02 02:00:00,-1.183454,0.88654065,2.2808564,1.4822093
2100-01-02 03:00:00,0.34729603,1.4983548,1.8399348,0.93279535
2100-01-02 04:00:00,-1.2257948,0.31212485,1.0040998,0.03540809
2100-01-02 05:00:00,-1.2161411,0.112716235,0.3954525,-0.6355329
2100-01-02 06:00:00,-1.5420462,-0.29801384,0.10941767,-0.8327263
2100-01-02 07:00:00,0.28186953,0.7106608,0.062059324,-0.9787956
2100-01-02 08:00:00,2.0462863,1.929629,0.94919956,0.028674982
